sample_id,raw_file,row_index,source_url,reachable,values_checked,verdict,discrepancy_note,fetched_date
A002,data/uptake/raw/casgevy_revenue.csv,4,https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,reached,Casgevy Q4 2024 revenue $8.0M (prior-year comparative in FY2025 release),agree,,2026-09-07
A006,data/uptake/raw/cart_country_supplement.csv,28,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,Greece 2024 line: 13 centres; CAR-T (53 (53) 2/51); count 53,agree,Appendix line matches verbatim; 53 = total CAR-T = first CAR-T (2 paed/51 adult),2026-09-07
A010,data/uptake/raw/cart_registry_counts.csv,25,https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,reached,Germany 79 per 10 million (2022 survey); Israel 231; Switzerland 145; France 89; Netherlands 80,agree,WebFetch hit reCAPTCHA; page retrieved with curl and cross-checked in Europe PMC XML,2026-09-07
A014,data/uptake/raw/eligible_E5_label_expansions.csv,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC4477633/,reached,"DBMD 1.38 per 10,000 (2010); DMD 1.02; BMD 0.36; 543 DMD cases (71%); denominator 3,827,532",agree,WebFetch hit reCAPTCHA; PMC page retrieved with curl; abstract also confirmed via E-utilities,2026-09-07
A018,data/uptake/raw/label_events.csv,40,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,reached,EC refusal 24 Sep 2025; CHMP opinion 24 Jul 2025; applicant Roche; EMEA/H/C/005293; ambulatory 3-7 years,agree,,2026-09-07
A022,data/access/raw/decisions_nice.csv,36,https://www.nice.org.uk/guidance/discontinued/gid-hst10038,reached,invitation to participate 04 Aug 2021; suspended 02 Dec 2021; discontinued 10 Feb 2023; reason quote,agree,WebFetch returned 403; page retrieved with curl (HTTP 200),2026-09-07
A026,data/uptake/raw/cart_registry_counts.csv,64,https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,reached,slide 37 2021 bar: Follicular lymphoma 186,agree,Slide deck is image-only; embedded slide image read from page 37,2026-09-07
A030,data/uptake/raw/tecelra_disclosures.csv,4,https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,reached,20 ATCs accepting referrals; ~30 ATCs by end 2025; release 20 Mar 2025,agree,,2026-09-07
A034,data/uptake/raw/eligible_E2.csv,123,https://www.ncbi.nlm.nih.gov/books/NBK614941/,reached,"sponsor estimate 4,391 SCD patients in Canada excl. Quebec; sentence verbatim",agree,,2026-09-07
A038,data/uptake/raw/tecartus_revenue.csv,112,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx,reached,Tecartus U.S. FY2024 $234M (prior-year column of FY2025 release),agree,,2026-09-07
A042,data/cohort/raw/projections_S16_S17.csv,138,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,reached,"Table 3 Immunology row 2023-2030: 0,0,0,0,2,0,0,0 total 2; 2025 = 0; title",agree,,2026-09-07
A046,data/uptake/raw/country_population.csv,77,https://api.worldbank.org/v2/country/AUS/indicator/SP.POP.TOTL?format=json&date=2017:2025,reached,"Australia 2022 population 26,018,721; lastupdated 2026-07-13",agree,,2026-09-07
