sample_id,raw_file,row_index,source_url,reachable,values_checked,verdict,discrepancy_note,fetched_date
A004,data/uptake/raw/eligible_E2.csv,2,https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,reached,860 eligible adult severe HemB patients; 172/yr at 20% uptake; posted 2022-12-22 updated 2024-07-26,agree,,2026-09-07
A008,data/uptake/raw/provenge_revenue.csv,27,https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/valeant2016form10-k.htm,reached,Provenge revenue 2015 = $250m; 2016 $303m; 2014 $0,agree,,2026-09-07
A012,data/uptake/raw/cart_country_supplement.csv,226,https://www.nature.com/articles/s41409-026-02919-9,reached,allogeneic CAR-T 2024 UK n=14; 45 patients 11 centres 9 countries; article title,agree,WebFetch hit an idp.nature.com redirect; curl with browser UA returned the full article,2026-09-07
A016,data/uptake/raw/amtagvi_disclosures.csv,7,https://www.sec.gov/Archives/edgar/data/1425205/000110465925018212/tm257755d1_ex99-1.htm,reached,~70 US ATCs across 32 states; release date 2025-02-27; 64%/13% infusion shares,agree,,2026-09-07
A020,data/uptake/raw/yescarta_revenue.csv,169,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx,reached,Yescarta FY2024 Europe $666m (US 662; RoW 242; total 1570),agree,,2026-09-07
A024,data/uptake/raw/yescarta_revenue.csv,16,https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,reached,Yescarta Q4 2018 US $80m (Europe 1; total 81); release 2019-02-04,agree,,2026-09-07
A028,data/cohort/raw/projections_S16_S17.csv,78,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,reached,Table 3 total launches 2029 = 7; full series 3/5/5/7/8/7/7/2; article title,agree,,2026-09-07
A032,data/cohort/raw/projections_S16_S17.csv,28,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2022/06/NEWDIGS-Research-Brief-2020F207v51-PipelineAnalysis.pdf,reached,Table 1 Total Initial = 6.0; 2021 9.6; 2022 13.0; 2023 17.9; 2025 31.9; 2030 62.4,agree,Tables are embedded images; read from extracted PNG,2026-09-07
A036,data/investment/raw/events_by_product.csv,20,https://www.sec.gov/Archives/edgar/data/873303/000095017025096257/srpt-ex99_1.htm,reached,date 2025-07-16; ~$400m annual savings; 36% workforce cut ~500 employees; black box warning agreed,agree,,2026-09-07
A040,data/uptake/raw/roctavian_disclosures.csv,11,https://www.sec.gov/Archives/edgar/data/1048477/000104847725000104/earningsrelease-27oct25ex9.htm,reached,date 2025-10-27; decision to pursue options to divest ROCTAVIAN; out-licensing; continued availability US/Italy/Germany,agree,Row verbatim paraphrases two sentences of the release; substance identical,2026-09-07
A044,data/uptake/raw/kymriah_revenue.csv,5,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000028/a190424-99_2.htm,reached,Kymriah Q1 2019 = USD 45m (Q1 2018 12m); Q1 2019 supplementary data,agree,,2026-09-07
A048,data/access/raw/decisions_cda_amc.csv,11,https://www.ncbi.nlm.nih.gov/books/NBK596615/,reached,"indication text; pERC meeting 2023-02-08; reimburse with conditions; price ~$533,500/infusion; ~$17m 3-yr budget impact",minor-discrepancy,"Bookshelf version gives price as approximately $533,500 (row: $533,523.10); the quoted '71% to 88% price reduction' range and the NOC date 2022-11-16 are not on this page (page says only 'in all reanalyses a price reduction would be required'); row notes attribute NOC date to PG0304r",2026-09-07
A052,data/uptake/raw/cart_country_supplement.csv,8,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,Belgium line: 16 centres; 159 (164) 0/159 first CAR-T; verbatim exact,agree,"per_10m_population 134.55 comes from Supplementary Table 2 of the main paper, not this file; not checked",2026-09-07
A056,data/uptake/raw/yescarta_revenue.csv,25,https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,reached,Yescarta Q2 2019 Europe $21m (US 99; total 120); release 2019-07-30,agree,,2026-09-07
A060,data/uptake/raw/cart_registry_counts.csv,62,https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,reached,"slide 37 'CAR-T infusions by indication, US, 2016-2024'; 2021 ALL segment = 241",agree,Slide is an image; read visually from extracted JPEG,2026-09-07
A064,data/uptake/raw/yescarta_revenue.csv,74,https://investors.gilead.com/news/news-details/2023/Gilead-Sciences-Announces-Second-Quarter-2023-Financial-Results/default.aspx,reached,Yescarta Q2 2022 Other International $17m (comparative column); release 2023-08-03,agree,,2026-09-07
A068,data/uptake/raw/amtagvi_revenue.csv,4,https://www.sec.gov/Archives/edgar/data/1425205/000110465924115300/tm2427769d1_ex99-1.htm,reached,Amtagvi Q3 2024 US sales $42.1m; release 2024-11-07,agree,,2026-09-07
A072,data/uptake/raw/cart_country_supplement.csv,31,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,Iceland line: 1 centre; 0 (0) 0/0 CAR-T; verbatim exact,agree,,2026-09-07
A076,data/uptake/raw/cart_registry_counts.csv,99,https://drst.de/wp-content/uploads/2026/07/DRST_JB_2025_final.pdf,reached,Tabelle 3.9 Malignom: Myelom 2024 = 562 (2022 191; 2023 342; 2025 836),agree,,2026-09-07
A080,data/access/raw/decisions_australia.csv,12,https://www.msac.gov.au/sites/default/files/documents/1748%20Final%20PSD%20-%20July%202023%20(redacted).pdf,reached-via-wayback,MSAC consideration 27 July 2023; ADAR lodgement deadline 8 February 2023; bridging-therapy negotiation; further review in 3 years,agree,msac.gov.au refused connection; Wayback snapshot 2025-12-02 used. TGA date 2018-12-19 not stated in the PSD,2026-09-07
A084,data/uptake/raw/carvykti_revenue.csv,43,https://www.sec.gov/Archives/edgar/data/200406/000020040626000002/a2025q4exhibit992.htm,reached,CARVYKTI Q4 2025 Intl $135m (US 420; WW 555),agree,,2026-09-07
A088,data/uptake/raw/launches2026_disclosures.csv,9,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000012/nvs-20260630-99_1.htm,reached,Zolgensma Group Q2 2026 USD 365m +20% cc; Itvisma launch momentum US and UAE; H1 667m; report 2026-07-21,agree,,2026-09-07
A092,data/access/raw/governance_china.csv,70,https://www.jwtherapeutics.com/en/media/press-release/20251207/,reached,release 2025-12-07; over 100 Inclusive Supplementary Health Insurance plans; nearly 100 Major Medical Insurance plans,agree,Source calls the plans 'Puhuibao'; row says 'Huiminbao' (same category of inclusive supplementary insurance),2026-09-07
A096,data/uptake/raw/eligible_E3a.csv,99,https://jcc.nhs.wales/clinical-policies/children-services/eladocagene-exuparvovec-for-treating-aromatic-l-amino-acid-decarboxylase-deficiency-in-people-aged-18-months-and-over-policy-position-statement-pp281-february-2024-pdf/,reached,"US prevalence roughly 1-3 in 100,000 live newborns; EU birth rate ~1 in 118,000; PP281 February 2024",agree,PDF text read with pypdf (WebFetch could not parse it),2026-09-07
A100,data/access/raw/decisions_nice.csv,44,https://www.nice.org.uk/guidance/indevelopment/gid-ta10752,reached-via-wayback,GID-TA10752 In development / In progress; invitation to participate 08 January 2025; committee meeting 04 November 2025; draft guidance consultation 18 Dec 2025 - 22 Jan 2026,agree,"nice.org.uk returned 403; Wayback snapshot 2026-02-07 used, which lists expected publication 10 July 2026 (row says TBC)",2026-09-07
A104,data/uptake/raw/yescarta_revenue.csv,85,https://investors.gilead.com/news/news-details/2023/Gilead-Sciences-Announces-First-Quarter-2023-Financial-Results/default.aspx,reached,Yescarta Q1 2023 Europe $121m (US 210; total 359); release 2023-04-27,agree,,2026-09-07
A108,data/uptake/raw/abecma_revenue.csv,47,https://www.sec.gov/Archives/edgar/data/14272/000001427225000089/a2025q1ex991-filing.htm,reached,Abecma Q1 2025 International $45m (US 59; WW 103); release 2025-04-24,agree,,2026-09-07
A112,data/uptake/raw/cart_registry_counts.csv,96,https://drst.de/wp-content/uploads/2026/07/DRST_JB_2025_final.pdf,reached,Tabelle 3.9 Malignom: Lymphom 2025 = 811; text 'maligne Lymphom (n=811)',agree,,2026-09-07
A116,data/uptake/raw/breyanzi_revenue.csv,35,https://www.sec.gov/Archives/edgar/data/14272/000001427224000094/q12024ex991-filing.htm,reached,Breyanzi Q1 2024 International $20m (US 87; WW 107); release 2024-04-25,agree,,2026-09-07
A120,data/uptake/raw/tecartus_revenue.csv,45,https://investors.gilead.com/news/news-details/2023/Gilead-Sciences-Announces-Second-Quarter-2023-Financial-Results/default.aspx,reached,Tecartus Q2 2023 Europe $29m (US 56; total 88); release 2023-08-03,agree,,2026-09-07
