family,subfamily,ctgov_query,pubmed_query,modality,stage_n,stage,n_trials,n_interventional,n_interventional_tech_as_intervention,n_ph3plus_tech_as_intervention,first_year,first_int_year,first_ph3_year,max_phase,n_ph1,n_ph2,n_ph3plus,industry_share,n_industry_sponsors,n_2016_2020,n_2021_2025,n_2025,share_trials_since_2021,term_share,n_completed,n_terminated_withdrawn,median_enroll_int,inflection_year,peak_year,pubs_total,pubs_2025,pub_cagr_20_25,literature_predates_2012_window
AI-driven drug discovery,AI-originated drug candidates,query.intr probe of 33 named candidates; see ai_originated_candidates.csv,"((""artificial intelligence""[tiab] OR ""machine learning""[tiab] OR ""deep learning""[tiab] OR ""generative model""[tiab]) AND (""drug discovery""[tiab] OR ""de novo design""[tiab] OR ""lead optimization""[tiab] OR ""virtual screening""[tiab] OR ""protein design""[tiab]))",Therapeutic,5,Multiple industry Phase 3+ programs,30,30,30.0,4.0,2020,2020,2022.0,Phase 3,15,11,4,1.0,9,2,25,2,0.833,0.2,9,6,,2018,2025,7454,2107,0.376,False
AI/ML in clinical research,AI/ML referenced in protocol,"""machine learning"" OR ""artificial intelligence"" OR ""deep learning""","(""machine learning""[tiab] OR ""deep learning""[tiab] OR ""artificial intelligence""[tiab])",Diagnostic/analytic,5,Assay-guided Phase 3+ at scale,5601,2242,797.0,14.0,2000,2002,2002.0,Phase 4,11,60,50,0.096,355,826,3623,972,0.647,0.026,1663,144,138.0,2019,2025,338991,89914,0.326,False
Gene editing & gene therapy,AAV gene transfer,"""adeno-associated virus"" OR ""AAV vector"" OR ""AAV9"" OR ""AAV8""","(""adeno-associated virus""[tiab] OR ""AAV vector""[tiab] OR ""rAAV""[tiab])",Therapeutic,5,Multiple industry Phase 3+ programs,316,288,144.0,14.0,1999,1999,2003.0,Phase 3,79,137,32,0.674,98,72,149,26,0.472,0.092,92,29,12.0,2012,2025,13633,2037,0.155,True
Gene editing & gene therapy,CRISPR nuclease editing,"""CRISPR"" OR ""Cas9""","(""CRISPR""[tiab] OR ""Cas9""[tiab])",Therapeutic,5,Multiple industry Phase 3+ programs,118,95,30.0,0.0,2015,2016,2018.0,Phase 3,38,28,7,0.466,21,32,69,12,0.585,0.212,16,25,16.0,2015,2025,64679,10231,0.106,False
Gene editing & gene therapy,In vivo LNP genetic medicine,"""lipid nanoparticle""","(""lipid nanoparticle""[tiab] OR ""lipid nanoparticles""[tiab])",Therapeutic,5,Multiple industry Phase 3+ programs,68,67,24.0,1.0,2011,2011,2013.0,Phase 3,38,12,3,0.353,13,6,35,10,0.515,0.059,21,4,40.0,2012,2025,10380,2213,0.304,True
Gene editing & gene therapy,Engineered T-cell therapy (CAR-T),"""chimeric antigen receptor"" OR ""CAR-T""","(""chimeric antigen receptor""[tiab] OR ""CAR-T""[tiab])",Therapeutic,4,First pivotal (Phase 3) trial reached,2579,2405,1826.0,34.0,2002,2009,2015.0,Phase 4,1009,776,54,0.294,193,637,1439,416,0.558,0.102,218,262,22.0,2017,2025,22203,4641,0.193,False
Gene editing & gene therapy,Lentiviral ex vivo gene therapy,"""lentiviral"" OR ""lentivirus""","(""lentiviral vector""[tiab] OR ""lentiviral gene therapy""[tiab])",Therapeutic,4,First pivotal (Phase 3) trial reached,279,253,76.0,2.0,1992,2006,2010.0,Phase 4,98,96,11,0.272,42,84,92,25,0.33,0.147,61,41,15.0,2012,2018,4478,238,-0.059,True
Gene editing & gene therapy,Base editing,"""base editing"" OR ""base editor""","(""base editing""[tiab] OR ""base editor""[tiab] OR ""base editors""[tiab])",Therapeutic,3,Multi-program early clinical,28,26,12.0,0.0,2021,2022,,Phase 2,6,7,0,0.464,4,0,21,5,0.75,0.071,5,2,10.0,2018,2025,2773,555,0.166,False
Gene editing & gene therapy,Epigenome editing,"""epigenome editing"" OR ""epigenetic editing"" OR ""epigenetic editor""","(""epigenome editing""[tiab] OR ""epigenetic editing""[tiab] OR ""epigenome editor""[tiab])",Therapeutic,2,First-in-human,2,1,0.0,0.0,2020,2025,,Phase 2,0,1,0,0.5,1,1,1,1,0.5,0.0,1,0,12.0,2016,2025,836,168,0.213,False
Gene editing & gene therapy,Prime editing,"""prime editing"" OR ""prime editor""","(""prime editing""[tiab] OR ""prime editor""[tiab] OR ""prime editors""[tiab])",Therapeutic,2,First-in-human,2,2,2.0,0.0,2024,2024,,Phase 2,0,2,0,1.0,1,0,1,0,0.5,0.0,0,0,27.0,2020,2025,1071,304,0.357,False
