product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes
Hemgenix,HemB_adult,"US label: adults with hemophilia B on FIX prophylaxis, or with current/historical life-threatening bleeding, or repeated serious spontaneous bleeds",US,label_indication,,,,,2022,2023-06-20,"HEMGENIX, etranacogene dezaparvovec-drlb, is a one-time gene therapy for the treatment of adults with hemophilia B who: Currently use Factor IX prophylaxis therapy, or Have current or historical life-threatening bleeding, or Have repeated, serious spontaneous bleeding episodes.","CSL Behring press release, First Patient Has Received FDA-Approved HEMGENIX (2023-06-20)",https://newsroom.csl.com/2023-06-20-CSL-Behring-Announces-the-First-Patient-Has-Received-FDA-Approved-HEMGENIX-R-etranacogene-dezaparvovec-drlb-for-Hemophilia-B,verified-from-source,FDA approval 2022-11-22. US label has no AAV5-antibody or FIX-inhibitor exclusion in the indication statement (inhibitor testing is in the warnings). Registered trademark symbol dropped from quote.
Hemgenix,HemB_adult,"EU label: severe and moderately severe haemophilia B, adults without history of FIX inhibitors",EU,label_indication,,,,,2023,2023-10-19,Hemgenix ist indiziert zur Behandlung von schwerer und mittelschwerer Haemophilie B (angeborener Faktor-IX-Mangel) bei erwachsenen Patienten ohne Faktor-IX-Inhibitoren in ihrer Vorgeschichte.,"G-BA Beschluss Anlage XII Etranacogen Dezaparvovec (Haemophilie B), Beschluss vom 19. Oktober 2023, BAnz AT 24.11.2023 B4, section 2 Anzahl der Patientinnen und Patienten",https://www.g-ba.de/downloads/39-261-6233/2023-10-19_AM-RL-XII_Etranacogen-Dezaparvovec_D-937_BAnz.pdf,verified-from-source,"EU authorisation 2023-02-20 (Anwendungsgebiet laut Zulassung). SmPC adds that pre-existing anti-AAV5 neutralising antibody titre above 1:678 may reduce efficacy (per HAS summary), not an indication exclusion. Umlauts transliterated."
Hemgenix,HemB_adult,adult severe hemophilia B without inhibitors (ICER budget-impact population),US,gatekeeper_eligible,,860,,patients,2022,2022-12-22,"For PBIA 1, using Centers for Disease Control (CDC) data and other sources, we estimated that approximately 860 adult severe hemophilia B patients without inhibitors would be eligible for treatment with etranacogene dezaparvovec. This equates to approximately 172 patients being treated per year over 5 years when assuming 20% of all eligible patients are treated each year.","ICER, Gene Therapy for Hemophilia B and An Update on Gene Therapy for Hemophilia A: Effectiveness and Value, Final Evidence Report (posted 2022-12-22, unmasked 2024-07-26), section 7 (report p.38) and Appendix F (p.F1)",https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,verified-from-source,"Derivation (Appendix F): US population ~342,000,000 x 49.5% male x CDC age-adjusted prevalence of hemophilia B 0.0037% x 52.8% adults x 28.7% severe x 90.9% without inhibitors. Counts only severe (FIX <1%); moderately severe patients on prophylaxis, who are in the label, are excluded, so this is a lower bound of the label pool. No AAV5-seropositivity exclusion applied. 20%/yr uptake assumption = ~172 treated/yr."
Hemgenix,HemB_adult,"hemophilia B, all ages and severities (prevalence rate used by ICER)",US,prevalence_rate,,0.0037,,"percent of US males (age-adjusted prevalence of hemophilia B, CDC HTC-based study)",2022,2022-12-22,"a Centers for Disease Control (CDC) epidemiological study for estimates of age-adjusted prevalence of hemophilia B (.0037%),76 proportion of hemophilia B cases occurring in adults (52.8%),76 and proportion with severe disease (28.7%).76","ICER, Gene Therapy for Hemophilia B and An Update on Gene Therapy for Hemophilia A: Effectiveness and Value, Final Evidence Report (posted 2022-12-22, unmasked 2024-07-26), Appendix F",https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,verified-from-source,"Population base: US males (~342,000,000 x 49.5% = ~169,000,000). Derived count = 169,290,000 x 0.000037 = ~6,260 males with hemophilia B; adults 52.8% = ~3,300; severe 28.7% of adults = ~950 (before inhibitor exclusion)."
Hemgenix,HemB_adult,"all hemophilia (A and B), all severities",US,prevalent_eligible,30000,,33000,people with hemophilia,2022,2022-12-22,"Approximately 76% of all male hemophilia patients in the US have hemophilia A and the remainder have hemophilia B.1 The exact prevalence of hemophilia in the United States (US) is not known, but is estimated to be around 30,000 to 33,000.1","ICER, Gene Therapy for Hemophilia B and An Update on Gene Therapy for Hemophilia A: Effectiveness and Value, Final Evidence Report (posted 2022-12-22, unmasked 2024-07-26), Executive Summary",https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,verified-from-source,"Disease-level base, not the eligible pool. Hemophilia B share = 24%."
Hemgenix,HemB_adult,"hemophilia B, all ages and severities",US,prevalent_eligible,7200,,7920,people with hemophilia B,2022,2022-12-22,"(derived) 30,000 x 0.24 = 7,200; 33,000 x 0.24 = 7,920","ICER, Gene Therapy for Hemophilia B and An Update on Gene Therapy for Hemophilia A: Effectiveness and Value, Final Evidence Report (posted 2022-12-22, unmasked 2024-07-26) (derived from the 30,000-33,000 total and the 24% hemophilia B share)",https://icer.org/wp-content/uploads/2022/05/ICER_Hemophilia_Final_Report_12222022.pdf,derived,"Arithmetic: total hemophilia 30,000-33,000 x (1-0.76). All ages and severities; adult severe/moderately severe subset is far smaller (see ICER 860 row)."
Hemgenix,HemB_adult,"all hemophilia, males",US,prevalent_eligible,,33000,,males living with hemophilia,2024,2024-05-15,"As many as 33,000 males are estimated to be living with hemophilia in the United States. | Hemophilia A (low levels of clotting factor VIII [8]) is three to four times as common as hemophilia B. | Among all males with hemophilia, just over 4 in 10 have the severe form of the disorder.","CDC, Data and Statistics on Hemophilia (page last reviewed 2024-05-15)",https://www.cdc.gov/hemophilia/data-research/index.html,verified-from-source,Three separate sentences joined with |. Disease-level base. Severe share (just over 40%) is for hemophilia A and B combined.
Hemgenix,HemB_adult,"hemophilia B, males, all severities",US,prevalent_eligible,6600,,8250,males with hemophilia B,2024,2024-05-15,"(derived) 33,000 / 5 = 6,600 (if A is four times as common as B); 33,000 / 4 = 8,250 (if A is three times as common)","CDC, Data and Statistics on Hemophilia (page last reviewed 2024-05-15) (derived)",https://www.cdc.gov/hemophilia/data-research/index.html,derived,"Arithmetic from CDC statements: B share = 1/(1+3) to 1/(1+4). Adult (~53%) and severe (~29%, ICER/CDC) subsets much smaller."
Hemgenix,HemB_adult,"hemophilia B, all severities",Global,prevalent_eligible,38000,,,people living with hemophilia B (WFH-identified),2024,2024-04-26,"According to the World Federation of Hemophilia, more than 38,000 people worldwide are living with hemophilia B.11","Pfizer press release, U.S. FDA Approves Pfizer's BEQVEZ (fidanacogene elaparvovec-dzkt) (2024-04-26), PDF",https://s206.q4cdn.com/795948973/files/doc_news/U.S.-FDA-Approves-Pfizers-BEQVEZ-fidanacogene-elaparvovec-dzkt-a-One-Time-Gene-Therapy-for-Adults-with-Hemophilia-B-2024.pdf,verified-from-source,"Lower bound ('more than'). Identified/registered patients reported to WFH, not true prevalence."
Hemgenix,HemB_adult,adults in England with severe to moderately severe or severe haemophilia B (NICE resource impact population),England,gatekeeper_eligible,,300,,adults (upper bound of eligible pool),2024,2024-07-24,It is estimated around 300 adults in England are currently living with severe to moderately severe or severe haemophilia B. The number of people eligible for treatment within this guidance is likely to be lower.,"NICE TA989 Etranacogene dezaparvovec for treating moderately severe or severe haemophilia B, Resource impact summary report (last updated 2024-07-24)",https://www.nice.org.uk/guidance/ta989/resources/resource-impact-summary-report-13485648493,verified-from-source,"NICE recommended with managed access (Innovative Medicines Fund). 300 is the prevalent label-severity adult pool; eligible pool lower after anti-FIX antibodies, AAV5 titre and liver criteria. Page fetched by curl after nice.org.uk returned HTTP 403 to WebFetch."
