idx,why,category
2,A business decision was made to not initiate this study.,"Funding, business or strategic decision"
5,Administrative decision,"Investigator, site or administrative"
8,"All treatment arms met the futility criteria for efficacy during the pre-planned interim analysis, therefore the study was stopped.",Efficacy failure or futility
11,Available clinical data has shown limited anti-tumor activity and reaching target study drug dose levels may not be feasible.,Efficacy failure or futility
14,Business Decision,"Funding, business or strategic decision"
17,Business decision,"Funding, business or strategic decision"
20,Business objectives have changed,"Funding, business or strategic decision"
23,Business reasons,"Funding, business or strategic decision"
26,CMC challenges,Manufacturing or product supply
29,Change in Research Direction,"Funding, business or strategic decision"
32,"Clinical development strategy adjustment, non-safety reason","Funding, business or strategic decision"
35,Company decision,"Funding, business or strategic decision"
38,Company strategy adjustment,"Funding, business or strategic decision"
41,"Considering that the high budget will affect the subsequent development, it is decided to terminate the test voluntarily","Funding, business or strategic decision"
44,Current study design couldn't support futher development on this indication.,Protocol redesign or replacement
47,Data from part 2 no longer deemed necessary for this program.,"Funding, business or strategic decision"
50,"Despite many risk-minimization strategies, the combination of ipatasertib, atezolizumab and docetaxel was challenging due to multiple study treatment modifications required to manage toxicity, making further enrollment inappropriate.",Safety or toxicity
53,Development program terminated.,"Funding, business or strategic decision"
56,Difficulty recruiting,Recruitment or feasibility failure
59,Due to MOH request.,Regulatory or ethics hold
62,Due to lack of efficacy shown at the time of the interim analysis.,Efficacy failure or futility
65,Due to strategic decision made by the sponsor the study was terminated,"Funding, business or strategic decision"
68,"Due to the adjustment of the R\&D strategy, Suzhou Junjing Biosciences Co., Ltd. decided to terminate this study in September 2023","Funding, business or strategic decision"
71,EF-50/LUNAR-4 was terminated because available real-world data are expected to enable Novocure to achieve the study objectives without an interventional clinical study. Termination was not due to safety concerns.,"Funding, business or strategic decision"
74,Efficacy signal substantial enough to move to a larger sturdy,Protocol redesign or replacement
77,Enough data has been collected to allow analysis of the safety profile and risk-benefit.,"Funding, business or strategic decision"
80,Feasibility concerns due to changes in standard of care,Recruitment or feasibility failure
83,"Following completion of Phase 1b, the Sponsor decided not to initiate Part 2 of the trial.","Funding, business or strategic decision"
