nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set,start_year,stratum,cell_n,has_reason,names_financial_cause,names_financial_or_business,denies_safety_cause,why_s,blocker,biz
NCT05121948,A Study of HC-7366 to Establish the Maximum Tolerated Dose (MTD) and Recommended Phase 2 Dose (RP2D),TERMINATED,2022-02-23,sponsor decision,PHASE1,35,"HiberCell, Inc.",INDUSTRY,Squamous Cell Carcinoma of Head and Neck|Colo-rectal Cancer|Non Small Cell Lung Cancer|Transitional Cell Carcinoma of the Bladder|Other Solid Tumors|Clear Cell Renal Cell Carcinoma,HC-7366,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,sponsor decision,"Funding, business or strategic decision",True
NCT05429762,Effect of Tusamitamab Ravtansine on QTc Interval in Participants With Metastatic Solid Tumors,TERMINATED,2022-10-03,Tusamitamab ravtansine clinical development program is discontinued as CARMEN-LC03 trial did not meet dual primary endpoint of improving progression-free survival. The decision is not related to any safety concern.,PHASE1,56,Sanofi,INDUSTRY,Neoplasm,Tusamitamab ravtansine,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,True,Tusamitamab ravtansine clinical development program is discontinued as CARMEN-LC03 trial did not meet dual primary endpoint of improving progression-free survival. The decision is not related to any safety concern.,Efficacy failure or futility,False
NCT05879627,"To Evaluate the Safety, Tolerance and Pharmacokinetics of BAT8007 for Injection in Patients With Advanced Solid Tumors",TERMINATED,2023-01-17,"Due to the adjustment of our company's research and development strategy, we are now prematurely terminating this project.",PHASE1,93,Bio-Thera Solutions,INDUSTRY,Advanced Solid Tumors,BAT8007 for injection,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,"Due to the adjustment of our company's research and development strategy, we are now prematurely terminating this project.","Funding, business or strategic decision",True
NCT05718219,"Safety, Tolerability, Pharmacokinetics and Preliminary Antitumor Activity of SIM0348 in Advanced Solid Tumors",TERMINATED,2023-03-29,Business decision,PHASE1,49,"Jiangsu Simcere Pharmaceutical Co., Ltd.",INDUSTRY,Advanced Solid Tumors,SIM0348|SIM0348 + Sintilimab,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT07250048,A Study in Healthy Men to Find Out How Different Doses of BI 3009947 Are Tolerated and How Different Formulations or Food Influence How BI 3009947 is Taken up Into the Blood,TERMINATED,2025-11-21,Sponsor decision,PHASE1,40,Boehringer Ingelheim,INDUSTRY,Healthy,BI 3009947 (Formulation A)|BI 3009947 (Formulation B)|Placebo,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT05367843,"A Study Assessing the Safety, Tolerability, Immunogenicity of COVID-19 Vaccine Candidate PRIME-2-CoV_Beta, Orf Virus Expressing SARS-CoV_2 Spike and Nucleocapsid Proteins",TERMINATED,2022-06-20,Business Decision,PHASE1,103,Speransa Therapeutics,INDUSTRY,SARS-CoV-2 Infection,PRIME-2-CoV_Beta,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,True,False,Business Decision,"Funding, business or strategic decision",True
NCT06617546,SAD and MAD Study of FTX-101 in Healthy Male Subjects,TERMINATED,2024-10-14,"Study's goals have been achieved based on a preliminary analysis of available pharmacokinetic and safety data, which demonstrate that sufficient information has been obtained.",PHASE1,49,Find Therapeutics,INDUSTRY,Healthy Volunteers,FTX-101|Placebo,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,"Study's goals have been achieved based on a preliminary analysis of available pharmacokinetic and safety data, which demonstrate that sufficient information has been obtained.","Funding, business or strategic decision",True
NCT06070948,A Study to Assess Food Effect of Venetoclax New Tablet Formulation in Healthy Female Participants,WITHDRAWN,2023-10-05,Strategic considerations,PHASE1,0,AbbVie,INDUSTRY,Healthy Volunteers,Venetoclax,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,Strategic considerations,"Funding, business or strategic decision",True
NCT05323136,Evaluate the Effects of Renal Impairment on the Pharmacokinetics and Pharmacodynamics,TERMINATED,2022-04-15,Strategic decision,PHASE1,2,"Shaanxi Micot Pharmaceutical Technology Co., Ltd.",INDUSTRY,ACS - Acute Coronary Syndrome,MT1002 for Injection,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,True,False,Strategic decision,"Funding, business or strategic decision",True
NCT06046066,A Phase 1 Study of NM6603 in Advanced Solid Tumors,TERMINATED,2023-08-31,"Discontinuation based on a strategic sponsor decision, not driven by safety concerns.",PHASE1,17,NucMito Pharmaceuticals Co. Ltd.,INDUSTRY,Cancers,NM6603,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,"Discontinuation based on a strategic sponsor decision, not driven by safety concerns.","Funding, business or strategic decision",True
