why,human_category,categories_allowed
Study discontinued due to sponsor decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Study was terminated due to lack of efficacy in the Phase 3 study C3391003, Pfizer has decided to terminate any future dosing of fordadistrogene movaparvovec.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Business Decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Not enough patients (difficulty in recruiting according to the inclusion criteria),,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study was terminated following an internal review of the company's current research and development portfolio.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study did not initiate because manufacturing of the CAR-T product failed.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study only continued to 2 year follow-up.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Portfolio prioritization,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The single participant died on 31 March 2025 from thrombotic microangiopathy, a serious adverse event assessed as definitely related to the study drug. Planned follow-up was not completed, and the study was terminated.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor has suspended clinical development of MYDICAR for heart failure.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
ethic commitee decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Limited funding, slow accrual",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study was terminated due to a strategic business decision and not due to safety concerns,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Failed to meet enrollment goals,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Patient accrual was slow due to exclusion of patients with prior cancers,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Failure to recruit due to human resourcing,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Difficulty in recruiting subjects who meet the inclusion/exclusion criteria,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
no grant approved,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No patients were enrolled,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
This study was dependent on an IT interoperability component requiring additional development.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
lack of financing,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Following the decision by Galapagos NV to wind down its cell therapy programs, the study was early terminated at the end of the study treatment period for the last subject (27-May-2026).",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Problems with the study costs after Covid-19,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Drug Unavailable,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Data collection complete,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Safety reasons,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The research study was not funded.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Withdrawal by sponsor,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Due to CART processing facility construction,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor decision to discontinue development and pursue an alternative clinical development strategy,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Temporary operational pause; no safety concerns.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
R\&D strategy adjustment,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
low accruals--2 patients were enrolled in over a year,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Lack of Funding,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Update to clinical strategy - COVID impact,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
target number of subjects not reached,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Terminated due to slow enrollment and end of funding,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The trial terminated due to the inability to recruit the planned number of subjects. The decision was not based on any safety and/or efficacy concerns,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Not enough personnel,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Collaborator's decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Unable to identify patients who meet eligibility requirements of tissue needed for analysis.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Administrative Reasons,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Difficulty in joining the group,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Study is withdrawn before recruting participants, new trial will be multi centre, sponsored by different organisation.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
0 participant accrual,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
low enrollment and remaining oncologist workload,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study never began recruiting participants.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
