product,hcpcs,asp_file_quarter,sales_quarter,payment_limit_usd,implied_asp_usd,dosage_unit,list_price_usd_at_sales_quarter,list_price_source,asp_over_list
abecma,Q2055,2023Q4,2023Q2,483453.66,456088,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2024Q1,2023Q3,484690.3,457255,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2024Q2,2023Q4,484690.3,457255,UP TO 460 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2024Q3,2024Q1,503454.525,474957,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2024Q4,2024Q2,526587.593,496781,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2025Q1,2024Q3,528312.427,498408,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2025Q2,2024Q4,527622.462,497757,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2025Q3,2025Q1,541260.447,510623,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2025Q4,2025Q2,557317.934,525772,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2026Q1,2025Q3,558081.726,526492,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2026Q2,2025Q4,559781.081,528095,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
abecma,Q2055,2026Q3,2026Q1,567977.78,535828,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,,,
adstiladrin,J9029,2024Q2,2023Q4,63505.4,59911,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2024Q3,2024Q1,63499.333,59905,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2024Q4,2024Q2,63354.773,59769,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2025Q1,2024Q3,63402.043,59813,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2025Q2,2024Q4,63235.607,59656,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2025Q3,2025Q1,63431.053,59841,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2025Q4,2025Q2,63342.282,59757,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2026Q1,2025Q3,64274.791,60637,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2026Q2,2025Q4,64282.299,60644,PER THERAPEUTIC DOSE,,,
adstiladrin,J9029,2026Q3,2026Q1,64331.614,60690,PER THERAPEUTIC DOSE,,,
breyanzi,Q2054,2023Q3,2023Q1,454489.31,428764,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2023Q4,2023Q2,473458.426,446659,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2024Q1,2023Q3,473853.516,447032,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2024Q2,2023Q4,474060.62,447227,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2024Q3,2024Q1,496390.205,468293,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2024Q4,2024Q2,516726.076,487477,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2025Q1,2024Q3,516485.967,487251,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2025Q2,2024Q4,516442.285,487210,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2025Q3,2025Q1,541635.657,510977,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2025Q4,2025Q2,562538.185,530696,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2026Q1,2025Q3,562201.242,530379,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
